wavelength0,wavelength1,dtc,svc,dtr
829.03,831.102,0.916666666667,0.833333333333,0.916666666667
833.174,835.246,0.916666666667,0.833333333333,1.0
837.318,839.39,0.75,0.833333333333,0.916666666667
841.462,843.534,1.0,1.0,1.0
845.606,847.678,0.916666666667,0.833333333333,0.916666666667
849.75,851.822,0.833333333333,0.916666666667,0.916666666667
853.894,855.966,0.75,0.666666666667,0.75
858.038,860.11,0.833333333333,0.583333333333,0.916666666667
862.182,864.254,1.0,0.916666666667,0.583333333333
866.326,868.398,0.916666666667,1.0,0.916666666667
870.47,872.542,0.916666666667,0.75,0.833333333333
874.614,876.686,0.75,0.916666666667,0.833333333333
878.758,880.83,0.666666666667,0.916666666667,0.833333333333
882.902,884.974,1.0,0.916666666667,0.75
887.046,889.118,0.75,1.0,0.833333333333
